caregiver_id,week,stressLevel,sleepQualityHoursPerWeek,workloadHoursPerWeek,familyWeeklyIncome,careQuality
1,0,0.05,0.0,0.0,834.6877884560776,0.8
2,0,0.05,0.0,0.0,1176.1262844893085,0.8
3,0,0.05,0.0,0.0,1310.2473519334053,0.8
4,0,0.05,0.0,0.0,912.3451942671433,0.8
5,0,0.05,0.0,0.0,1336.2876866952479,0.8
6,0,0.05,0.0,0.0,1353.6950131816056,0.8
7,0,0.05,0.0,0.0,1336.760832513584,0.8
8,0,0.05,0.0,0.0,1419.643215838525,0.8
9,0,0.05,0.0,0.0,1021.2910378113871,0.8
10,0,0.05,0.0,0.0,1358.9427996958511,0.8
11,0,0.05,0.0,0.0,877.087840682191,0.8
12,0,0.05,0.0,0.0,1450.5024056729526,0.8
13,0,0.05,0.0,0.0,1358.1045492133599,0.8
14,0,0.05,0.0,0.0,1376.989622222771,0.8
15,0,0.05,0.0,0.0,1234.6524431015011,0.8
16,0,0.05,0.0,0.0,1181.869995843772,0.8
17,0,0.05,0.0,0.0,956.3380464075242,0.8
18,0,0.05,0.0,0.0,1145.3272301623647,0.8
19,0,0.05,0.0,0.0,941.5818643670094,0.8
20,0,0.05,0.0,0.0,1456.6176347601358,0.8
21,0,0.05,0.0,0.0,1458.3160395693287,0.8
22,0,0.05,0.0,0.0,1178.3809543429008,0.8
23,0,0.05,0.0,0.0,993.274025981681,0.8
24,0,0.05,0.0,0.0,958.5662215811899,0.8
25,0,0.05,0.0,0.0,857.4156134815112,0.8
26,0,0.05,0.0,0.0,1197.060232401312,0.8
27,0,0.05,0.0,0.0,998.6299006780139,0.8
28,0,0.05,0.0,0.0,1323.7571068867546,0.8
29,0,0.05,0.0,0.0,941.3906387171844,0.8
30,0,0.05,0.0,0.0,1332.4294411854532,0.8
31,0,0.05,0.0,0.0,1468.2798591601954,0.8
32,0,0.05,0.0,0.0,1087.9119068703346,0.8
33,0,0.05,0.0,0.0,1167.3379468146368,0.8
34,0,0.05,0.0,0.0,1113.157755237277,0.8
35,0,0.05,0.0,0.0,1279.4428787160446,0.8
36,0,0.05,0.0,0.0,1255.862278599846,0.8
37,0,0.05,0.0,0.0,1074.082476459307,0.8
38,0,0.05,0.0,0.0,1052.559171959062,0.8
39,0,0.05,0.0,0.0,1012.9900838218882,0.8
40,0,0.05,0.0,0.0,1480.1969266295864,0.8
41,0,0.05,0.0,0.0,1127.5046468921487,0.8
42,0,0.05,0.0,0.0,1222.8112783204704,0.8
43,0,0.05,0.0,0.0,1355.843300771604,0.8
44,0,0.05,0.0,0.0,853.462028335375,0.8
45,0,0.05,0.0,0.0,874.7039525315537,0.8
46,0,0.05,0.0,0.0,1141.34363490101,0.8
47,0,0.05,0.0,0.0,900.022805432503,0.8
48,0,0.05,0.0,0.0,950.9665563668208,0.8
49,0,0.05,0.0,0.0,1453.8890735018733,0.8
50,0,0.05,0.0,0.0,1297.4137059415368,0.8
51,0,0.05,0.0,0.0,1148.466580113165,0.8
52,0,0.05,0.0,0.0,1209.5838057432834,0.8
53,0,0.05,0.0,0.0,968.5058676636337,0.8
54,0,0.05,0.0,0.0,1315.5413414588545,0.8
55,0,0.05,0.0,0.0,857.1779037366889,0.8
56,0,0.05,0.0,0.0,1091.9051237184526,0.8
57,0,0.05,0.0,0.0,886.3606698857872,0.8
58,0,0.05,0.0,0.0,1286.7491447631103,0.8
59,0,0.05,0.0,0.0,803.3155890329454,0.8
60,0,0.05,0.0,0.0,1364.691778542685,0.8
61,0,0.05,0.0,0.0,1167.3675614434687,0.8
62,0,0.05,0.0,0.0,1298.459338847036,0.8
63,0,0.05,0.0,0.0,869.5256984506598,0.8
64,0,0.05,0.0,0.0,1015.7858278919736,0.8
65,0,0.05,0.0,0.0,1057.0439668396093,0.8
66,0,0.05,0.0,0.0,959.4245672134041,0.8
67,0,0.05,0.0,0.0,976.1216852071119,0.8
68,0,0.05,0.0,0.0,1444.4803522059656,0.8
69,0,0.05,0.0,0.0,1407.0006829497797,0.8
70,0,0.05,0.0,0.0,1247.2225253656925,0.8
71,0,0.05,0.0,0.0,1074.6535157478454,0.8
72,0,0.05,0.0,0.0,986.8148793521217,0.8
73,0,0.05,0.0,0.0,1398.4177323509011,0.8
74,0,0.05,0.0,0.0,1102.621615234321,0.8
75,0,0.05,0.0,0.0,1038.9651949723327,0.8
76,0,0.05,0.0,0.0,1179.3509292684334,0.8
77,0,0.05,0.0,0.0,1149.8694091214306,0.8
78,0,0.05,0.0,0.0,1457.5273947718765,0.8
79,0,0.05,0.0,0.0,853.0233701365898,0.8
80,0,0.05,0.0,0.0,922.698010390393,0.8
81,0,0.05,0.0,0.0,986.8571091250949,0.8
82,0,0.05,0.0,0.0,1411.2465200523297,0.8
83,0,0.05,0.0,0.0,1298.6085537753565,0.8
84,0,0.05,0.0,0.0,879.4001531771103,0.8
85,0,0.05,0.0,0.0,937.0303665339097,0.8
86,0,0.05,0.0,0.0,1463.4577642273484,0.8
87,0,0.05,0.0,0.0,1190.3939059209624,0.8
88,0,0.05,0.0,0.0,929.7574828410063,0.8
89,0,0.05,0.0,0.0,1292.322085635586,0.8
90,0,0.05,0.0,0.0,871.5563665875655,0.8
91,0,0.05,0.0,0.0,1490.9952545059468,0.8
92,0,0.05,0.0,0.0,913.7478529075423,0.8
93,0,0.05,0.0,0.0,847.0953688296482,0.8
94,0,0.05,0.0,0.0,924.9410651744912,0.8
95,0,0.05,0.0,0.0,1264.2595677196314,0.8
96,0,0.05,0.0,0.0,1407.42784698388,0.8
97,0,0.05,0.0,0.0,1179.8952734324744,0.8
98,0,0.05,0.0,0.0,1019.3398085545621,0.8
99,0,0.05,0.0,0.0,1291.367610999816,0.8
100,0,0.05,0.0,0.0,818.0325525375557,0.8
1,1,0.05,0.0,0.0,834.6877884560776,0.8
2,1,0.05,0.0,0.0,1176.1262844893085,0.8
3,1,0.05,0.0,0.0,1310.2473519334053,0.8
4,1,0.05,0.0,0.0,912.3451942671433,0.8
5,1,0.05,0.0,0.0,1336.2876866952479,0.8
6,1,0.05,0.0,0.0,1353.6950131816056,0.8
7,1,0.05,0.0,0.0,1336.760832513584,0.8
8,1,0.05,0.0,0.0,1419.643215838525,0.8
9,1,0.05,0.0,0.0,1021.2910378113871,0.8
10,1,0.05,0.0,0.0,1358.9427996958511,0.8
11,1,0.05,0.0,0.0,877.087840682191,0.8
12,1,0.05,0.0,0.0,1450.5024056729526,0.8
13,1,0.05,0.0,0.0,1358.1045492133599,0.8
14,1,0.05,0.0,0.0,1376.989622222771,0.8
15,1,0.05,0.0,0.0,1234.6524431015011,0.8
16,1,0.05,0.0,0.0,1181.869995843772,0.8
17,1,0.05,0.0,0.0,956.3380464075242,0.8
18,1,0.05,0.0,0.0,1145.3272301623647,0.8
19,1,0.05,0.0,0.0,941.5818643670094,0.8
20,1,0.05,0.0,0.0,1456.6176347601358,0.8
21,1,0.05,0.0,0.0,1458.3160395693287,0.8
22,1,0.05,0.0,0.0,1178.3809543429008,0.8
23,1,0.05,0.0,0.0,993.274025981681,0.8
24,1,0.05,0.0,0.0,958.5662215811899,0.8
25,1,0.05,0.0,0.0,857.4156134815112,0.8
26,1,0.05,0.0,0.0,1197.060232401312,0.8
27,1,0.05,0.0,0.0,998.6299006780139,0.8
28,1,0.05,0.0,0.0,1323.7571068867546,0.8
29,1,0.05,0.0,0.0,941.3906387171844,0.8
30,1,0.05,0.0,0.0,1332.4294411854532,0.8
31,1,0.05,0.0,0.0,1468.2798591601954,0.8
32,1,0.05,0.0,0.0,1087.9119068703346,0.8
33,1,0.05,0.0,0.0,1167.3379468146368,0.8
34,1,0.05,0.0,0.0,1113.157755237277,0.8
35,1,0.05,0.0,0.0,1279.4428787160446,0.8
36,1,0.05,0.0,0.0,1255.862278599846,0.8
37,1,0.05,0.0,0.0,1074.082476459307,0.8
38,1,0.05,0.0,0.0,1052.559171959062,0.8
39,1,0.05,0.0,0.0,1012.9900838218882,0.8
40,1,0.05,0.0,0.0,1480.1969266295864,0.8
41,1,0.05,0.0,0.0,1127.5046468921487,0.8
42,1,0.05,0.0,0.0,1222.8112783204704,0.8
43,1,0.05,0.0,0.0,1355.843300771604,0.8
44,1,0.05,0.0,0.0,853.462028335375,0.8
45,1,0.05,0.0,0.0,874.7039525315537,0.8
46,1,0.05,0.0,0.0,1141.34363490101,0.8
47,1,0.05,0.0,0.0,900.022805432503,0.8
48,1,0.05,0.0,0.0,950.9665563668208,0.8
49,1,0.05,0.0,0.0,1453.8890735018733,0.8
50,1,0.05,0.0,0.0,1297.4137059415368,0.8
51,1,0.05,0.0,0.0,1148.466580113165,0.8
52,1,0.05,0.0,0.0,1209.5838057432834,0.8
53,1,0.05,0.0,0.0,968.5058676636337,0.8
54,1,0.05,0.0,0.0,1315.5413414588545,0.8
55,1,0.05,0.0,0.0,857.1779037366889,0.8
56,1,0.05,0.0,0.0,1091.9051237184526,0.8
57,1,0.05,0.0,0.0,886.3606698857872,0.8
58,1,0.05,0.0,0.0,1286.7491447631103,0.8
59,1,0.05,0.0,0.0,803.3155890329454,0.8
60,1,0.05,0.0,0.0,1364.691778542685,0.8
61,1,0.05,0.0,0.0,1167.3675614434687,0.8
62,1,0.05,0.0,0.0,1298.459338847036,0.8
63,1,0.05,0.0,0.0,869.5256984506598,0.8
64,1,0.05,0.0,0.0,1015.7858278919736,0.8
65,1,0.05,0.0,0.0,1057.0439668396093,0.8
66,1,0.05,0.0,0.0,959.4245672134041,0.8
67,1,0.05,0.0,0.0,976.1216852071119,0.8
68,1,0.05,0.0,0.0,1444.4803522059656,0.8
69,1,0.05,0.0,0.0,1407.0006829497797,0.8
70,1,0.05,0.0,0.0,1247.2225253656925,0.8
71,1,0.05,0.0,0.0,1074.6535157478454,0.8
72,1,0.05,0.0,0.0,986.8148793521217,0.8
73,1,0.05,0.0,0.0,1398.4177323509011,0.8
74,1,0.05,0.0,0.0,1102.621615234321,0.8
75,1,0.05,0.0,0.0,1038.9651949723327,0.8
76,1,0.05,0.0,0.0,1179.3509292684334,0.8
77,1,0.05,0.0,0.0,1149.8694091214306,0.8
78,1,0.05,0.0,0.0,1457.5273947718765,0.8
79,1,0.05,0.0,0.0,853.0233701365898,0.8
80,1,0.05,0.0,0.0,922.698010390393,0.8
81,1,0.05,0.0,0.0,986.8571091250949,0.8
82,1,0.05,0.0,0.0,1411.2465200523297,0.8
83,1,0.05,0.0,0.0,1298.6085537753565,0.8
84,1,0.05,0.0,0.0,879.4001531771103,0.8
85,1,0.05,0.0,0.0,937.0303665339097,0.8
86,1,0.05,0.0,0.0,1463.4577642273484,0.8
87,1,0.05,0.0,0.0,1190.3939059209624,0.8
88,1,0.05,0.0,0.0,929.7574828410063,0.8
89,1,0.05,0.0,0.0,1292.322085635586,0.8
90,1,0.05,0.0,0.0,871.5563665875655,0.8
91,1,0.05,0.0,0.0,1490.9952545059468,0.8
92,1,0.05,0.0,0.0,913.7478529075423,0.8
93,1,0.05,0.0,0.0,847.0953688296482,0.8
94,1,0.05,0.0,0.0,924.9410651744912,0.8
95,1,0.05,0.0,0.0,1264.2595677196314,0.8
96,1,0.05,0.0,0.0,1407.42784698388,0.8
97,1,0.05,0.0,0.0,1179.8952734324744,0.8
98,1,0.05,0.0,0.0,1019.3398085545621,0.8
99,1,0.05,0.0,0.0,1291.367610999816,0.8
100,1,0.05,0.0,0.0,818.0325525375557,0.8
1,2,1.403,54.88,116.90983308019383,834.6877884560776,0.5701666666666667
2,2,0.6070000000000001,53.2,10.0,1176.1262844893085,0.7028333333333334
3,2,0.505,50.4,17.88752503308136,1310.2473519334053,0.7198333333333333
4,2,0.6070000000000001,50.4,14.771555025731715,912.3451942671433,0.7028333333333334
5,2,0.505,53.2,10.455429119164563,1336.2876866952479,0.7198333333333333
6,2,0.505,53.2,10.0,1353.6950131816056,0.7198333333333333
7,2,0.505,50.4,14.920757340244094,1336.760832513584,0.7198333333333333
8,2,0.505,53.2,12.430498624316812,1419.643215838525,0.7198333333333333
9,2,0.6070000000000001,53.2,10.785670539819442,1021.2910378113871,0.7028333333333334
10,2,0.505,53.2,10.334338756767757,1358.9427996958511,0.7198333333333333
11,2,0.7430000000000001,53.2,10.0,877.087840682191,0.6801666666666667
12,2,0.835,54.88,44.4330496576883,1450.5024056729526,0.6648333333333334
13,2,0.505,53.2,10.961003421865534,1358.1045492133599,0.7198333333333333
14,2,0.505,50.4,14.732096476506136,1376.989622222771,0.7198333333333333
15,2,0.505,50.4,16.000967881236107,1234.6524431015011,0.7198333333333333
16,2,0.6070000000000001,50.4,13.113649890833749,1181.869995843772,0.7028333333333334
17,2,0.6070000000000001,50.4,17.918277322370685,956.3380464075242,0.7028333333333334
18,2,0.6070000000000001,53.2,11.756498600516188,1145.3272301623647,0.7028333333333334
19,2,0.6070000000000001,50.4,16.372804209998662,941.5818643670094,0.7028333333333334
20,2,0.505,53.2,12.103412336099915,1456.6176347601358,0.7198333333333333
21,2,0.505,53.2,10.0,1458.3160395693287,0.7198333333333333
22,2,0.6070000000000001,53.2,11.7630102890529,1178.3809543429008,0.7028333333333334
23,2,0.6070000000000001,50.4,17.014802551383717,993.274025981681,0.7028333333333334
24,2,0.6070000000000001,53.2,10.0,958.5662215811899,0.7028333333333334
25,2,0.7430000000000001,53.2,10.0,857.4156134815112,0.6801666666666667
26,2,0.6070000000000001,53.2,12.386565118254005,1197.060232401312,0.7028333333333334
27,2,0.6070000000000001,53.2,10.0,998.6299006780139,0.7028333333333334
28,2,1.33,54.88,145.7859569012326,1323.7571068867546,0.5823333333333334
29,2,0.44200000000000006,54.88,3.828444523058053,941.3906387171844,0.7303333333333334
30,2,0.505,50.4,14.916762941400599,1332.4294411854532,0.7198333333333333
31,2,0.505,53.2,10.240094834848854,1468.2798591601954,0.7198333333333333
32,2,0.6070000000000001,53.2,10.0,1087.9119068703346,0.7028333333333334
33,2,0.6070000000000001,53.2,10.0,1167.3379468146368,0.7028333333333334
34,2,0.6070000000000001,50.4,17.39489283928272,1113.157755237277,0.7028333333333334
35,2,0.505,53.2,10.0,1279.4428787160446,0.7198333333333333
36,2,0.505,53.2,10.0,1255.862278599846,0.7198333333333333
37,2,0.6070000000000001,53.2,10.0,1074.082476459307,0.7028333333333334
38,2,0.7720000000000001,47.6,19.238494922886616,1052.559171959062,0.6753333333333333
39,2,0.6070000000000001,50.4,14.21157941563748,1012.9900838218882,0.7028333333333334
40,2,0.505,50.4,17.364348367161703,1480.1969266295864,0.7198333333333333
41,2,0.6070000000000001,53.2,10.0,1127.5046468921487,0.7028333333333334
42,2,0.505,53.2,11.623609617351683,1222.8112783204704,0.7198333333333333
43,2,0.505,53.2,10.0,1355.843300771604,0.7198333333333333
44,2,0.7430000000000001,50.4,17.91468908539293,853.462028335375,0.6801666666666667
45,2,0.7430000000000001,53.2,11.31562860989986,874.7039525315537,0.6801666666666667
46,2,0.6070000000000001,50.4,16.935281202395046,1141.34363490101,0.7028333333333334
47,2,0.6070000000000001,50.4,17.83227187955066,900.022805432503,0.7028333333333334
48,2,0.6070000000000001,50.4,18.503720765058887,950.9665563668208,0.7028333333333334
49,2,0.835,54.88,52.887065027415936,1453.8890735018733,0.6648333333333334
50,2,0.505,53.2,10.0,1297.4137059415368,0.7198333333333333
51,2,0.6070000000000001,53.2,10.0,1148.466580113165,0.7028333333333334
52,2,0.505,50.4,12.945554990688393,1209.5838057432834,0.7198333333333333
53,2,0.7720000000000001,47.6,19.242840920713746,968.5058676636337,0.6753333333333333
54,2,0.505,50.4,14.586640769840862,1315.5413414588545,0.7198333333333333
55,2,0.7430000000000001,53.2,12.424674438968147,857.1779037366889,0.6801666666666667
56,2,0.6070000000000001,53.2,10.0,1091.9051237184526,0.7028333333333334
57,2,0.7430000000000001,50.4,15.08914961408437,886.3606698857872,0.6801666666666667
58,2,0.505,50.4,13.092490581253436,1286.7491447631103,0.7198333333333333
59,2,0.7430000000000001,50.4,14.846714769660963,803.3155890329454,0.6801666666666667
60,2,0.505,53.2,12.684205935698394,1364.691778542685,0.7198333333333333
61,2,0.6070000000000001,50.4,14.88991537033742,1167.3675614434687,0.7028333333333334
62,2,0.505,50.4,17.761127711728555,1298.459338847036,0.7198333333333333
63,2,0.7430000000000001,53.2,10.0,869.5256984506598,0.6801666666666667
64,2,0.6070000000000001,50.4,12.805801700794134,1015.7858278919736,0.7028333333333334
65,2,0.6070000000000001,50.4,16.44780325943237,1057.0439668396093,0.7028333333333334
66,2,0.6070000000000001,50.4,15.425788339994881,959.4245672134041,0.7028333333333334
67,2,0.6070000000000001,50.4,18.233963416870388,976.1216852071119,0.7028333333333334
68,2,0.505,50.4,18.848150892605332,1444.4803522059656,0.7198333333333333
69,2,0.505,53.2,10.0,1407.0006829497797,0.7198333333333333
70,2,0.505,53.2,12.051452064395,1247.2225253656925,0.7198333333333333
71,2,0.6070000000000001,50.4,15.73916452502948,1074.6535157478454,0.7028333333333334
72,2,0.6070000000000001,50.4,17.884949859684212,986.8148793521217,0.7028333333333334
73,2,0.505,53.2,10.77595442122118,1398.4177323509011,0.7198333333333333
74,2,0.6070000000000001,53.2,10.0,1102.621615234321,0.7028333333333334
75,2,0.6070000000000001,53.2,10.091944957798063,1038.9651949723327,0.7028333333333334
76,2,0.6070000000000001,50.4,15.682109124877144,1179.3509292684334,0.7028333333333334
77,2,0.6070000000000001,50.4,19.121510010231816,1149.8694091214306,0.7028333333333334
78,2,0.505,54.88,18.98717554846774,1457.5273947718765,0.7198333333333333
79,2,0.7430000000000001,50.4,18.576352475668948,853.0233701365898,0.6801666666666667
80,2,0.6070000000000001,53.2,10.0,922.698010390393,0.7028333333333334
81,2,0.6070000000000001,53.2,10.122498595927993,986.8571091250949,0.7028333333333334
82,2,0.34,54.88,4.584001849818822,1411.2465200523297,0.7473333333333334
83,2,1.165,54.88,99.9854038869894,1298.6085537753565,0.6098333333333333
84,2,0.7430000000000001,53.2,10.0,879.4001531771103,0.6801666666666667
85,2,0.6070000000000001,53.2,10.0,937.0303665339097,0.7028333333333334
86,2,0.505,53.2,11.629133416692532,1463.4577642273484,0.7198333333333333
87,2,0.6070000000000001,50.4,17.618189413061984,1190.3939059209624,0.7028333333333334
88,2,1.432,54.88,122.08722769635162,929.7574828410063,0.5653333333333334
89,2,0.505,53.2,10.0,1292.322085635586,0.7198333333333333
90,2,1.568,54.88,158.34437483369072,871.5563665875655,0.5276666666666666
91,2,0.505,50.4,15.61148238524379,1490.9952545059468,0.7198333333333333
92,2,0.6070000000000001,50.4,16.03494855085414,913.7478529075423,0.7028333333333334
93,2,0.7430000000000001,53.2,10.95551654825605,847.0953688296482,0.6801666666666667
94,2,0.6070000000000001,50.4,13.080003452213283,924.9410651744912,0.7028333333333334
95,2,0.505,50.4,14.804749813742582,1264.2595677196314,0.7198333333333333
96,2,0.505,50.4,18.85462322166981,1407.42784698388,0.7198333333333333
97,2,1.432,54.88,151.92141949378913,1179.8952734324744,0.5653333333333334
98,2,0.6070000000000001,50.4,16.423580579606657,1019.3398085545621,0.7028333333333334
99,2,0.67,54.88,39.29287967663956,1291.367610999816,0.6923333333333334
100,2,0.7430000000000001,53.2,10.0,818.0325525375557,0.6801666666666667
1,3,1.403,54.88,116.90983308019383,834.6877884560776,0.5701666666666667
2,3,0.6070000000000001,53.2,10.0,1176.1262844893085,0.7028333333333334
3,3,0.505,50.4,17.962793833081363,1310.2473519334053,0.7198333333333333
4,3,0.6070000000000001,50.4,14.771555025731715,912.3451942671433,0.7028333333333334
5,3,0.505,53.2,10.455429119164563,1336.2876866952479,0.7198333333333333
6,3,0.505,53.2,10.0,1353.6950131816056,0.7198333333333333
7,3,0.505,50.4,14.920757340244094,1336.760832513584,0.7198333333333333
8,3,0.505,53.2,12.430498624316812,1419.643215838525,0.7198333333333333
9,3,0.6070000000000001,53.2,10.785670539819442,1021.2910378113871,0.7028333333333334
10,3,0.505,53.2,10.40960755676776,1358.9427996958511,0.7198333333333333
11,3,0.7430000000000001,53.2,10.0,877.087840682191,0.6801666666666667
12,3,0.835,54.88,44.4330496576883,1450.5024056729526,0.6648333333333334
13,3,0.505,53.2,10.961003421865534,1358.1045492133599,0.7198333333333333
14,3,0.505,50.4,14.732096476506136,1376.989622222771,0.7198333333333333
15,3,0.505,50.4,16.07623668123611,1234.6524431015011,0.7198333333333333
16,3,0.6070000000000001,50.4,13.189408290833747,1181.869995843772,0.7028333333333334
17,3,0.6070000000000001,50.4,17.918277322370685,956.3380464075242,0.7028333333333334
