caregiver_id,week,stressLevel,sleepQualityHoursPerWeek,workloadHoursPerWeek,careQuality
1,0,0.05,0.0,0.0,0.5
2,0,0.05,0.0,0.0,0.5
3,0,0.05,0.0,0.0,0.5
4,0,0.05,0.0,0.0,0.5
5,0,0.05,0.0,0.0,0.5
6,0,0.05,0.0,0.0,0.5
7,0,0.05,0.0,0.0,0.5
8,0,0.05,0.0,0.0,0.5
9,0,0.05,0.0,0.0,0.5
10,0,0.05,0.0,0.0,0.5
11,0,0.05,0.0,0.0,0.5
12,0,0.05,0.0,0.0,0.5
13,0,0.05,0.0,0.0,0.5
14,0,0.05,0.0,0.0,0.5
15,0,0.05,0.0,0.0,0.5
16,0,0.05,0.0,0.0,0.5
17,0,0.05,0.0,0.0,0.5
18,0,0.05,0.0,0.0,0.5
19,0,0.05,0.0,0.0,0.5
20,0,0.05,0.0,0.0,0.5
21,0,0.05,0.0,0.0,0.5
22,0,0.05,0.0,0.0,0.5
23,0,0.05,0.0,0.0,0.5
24,0,0.05,0.0,0.0,0.5
25,0,0.05,0.0,0.0,0.5
26,0,0.05,0.0,0.0,0.5
27,0,0.05,0.0,0.0,0.5
28,0,0.05,0.0,0.0,0.5
29,0,0.05,0.0,0.0,0.5
30,0,0.05,0.0,0.0,0.5
31,0,0.05,0.0,0.0,0.5
32,0,0.05,0.0,0.0,0.5
33,0,0.05,0.0,0.0,0.5
34,0,0.05,0.0,0.0,0.5
35,0,0.05,0.0,0.0,0.5
36,0,0.05,0.0,0.0,0.5
37,0,0.05,0.0,0.0,0.5
38,0,0.05,0.0,0.0,0.5
39,0,0.05,0.0,0.0,0.5
40,0,0.05,0.0,0.0,0.5
41,0,0.05,0.0,0.0,0.5
42,0,0.05,0.0,0.0,0.5
43,0,0.05,0.0,0.0,0.5
44,0,0.05,0.0,0.0,0.5
45,0,0.05,0.0,0.0,0.5
46,0,0.05,0.0,0.0,0.5
47,0,0.05,0.0,0.0,0.5
48,0,0.05,0.0,0.0,0.5
49,0,0.05,0.0,0.0,0.5
50,0,0.05,0.0,0.0,0.5
51,0,0.05,0.0,0.0,0.5
52,0,0.05,0.0,0.0,0.5
53,0,0.05,0.0,0.0,0.5
54,0,0.05,0.0,0.0,0.5
55,0,0.05,0.0,0.0,0.5
56,0,0.05,0.0,0.0,0.5
57,0,0.05,0.0,0.0,0.5
58,0,0.05,0.0,0.0,0.5
59,0,0.05,0.0,0.0,0.5
60,0,0.05,0.0,0.0,0.5
61,0,0.05,0.0,0.0,0.5
62,0,0.05,0.0,0.0,0.5
63,0,0.05,0.0,0.0,0.5
64,0,0.05,0.0,0.0,0.5
65,0,0.05,0.0,0.0,0.5
66,0,0.05,0.0,0.0,0.5
67,0,0.05,0.0,0.0,0.5
68,0,0.05,0.0,0.0,0.5
69,0,0.05,0.0,0.0,0.5
70,0,0.05,0.0,0.0,0.5
71,0,0.05,0.0,0.0,0.5
72,0,0.05,0.0,0.0,0.5
73,0,0.05,0.0,0.0,0.5
74,0,0.05,0.0,0.0,0.5
75,0,0.05,0.0,0.0,0.5
76,0,0.05,0.0,0.0,0.5
77,0,0.05,0.0,0.0,0.5
78,0,0.05,0.0,0.0,0.5
79,0,0.05,0.0,0.0,0.5
80,0,0.05,0.0,0.0,0.5
81,0,0.05,0.0,0.0,0.5
82,0,0.05,0.0,0.0,0.5
83,0,0.05,0.0,0.0,0.5
84,0,0.05,0.0,0.0,0.5
85,0,0.05,0.0,0.0,0.5
86,0,0.05,0.0,0.0,0.5
87,0,0.05,0.0,0.0,0.5
88,0,0.05,0.0,0.0,0.5
89,0,0.05,0.0,0.0,0.5
90,0,0.05,0.0,0.0,0.5
91,0,0.05,0.0,0.0,0.5
92,0,0.05,0.0,0.0,0.5
93,0,0.05,0.0,0.0,0.5
94,0,0.05,0.0,0.0,0.5
95,0,0.05,0.0,0.0,0.5
96,0,0.05,0.0,0.0,0.5
97,0,0.05,0.0,0.0,0.5
98,0,0.05,0.0,0.0,0.5
99,0,0.05,0.0,0.0,0.5
100,0,0.05,0.0,0.0,0.5
1,1,1.285425,54.88,51.56776639212659,0.5
2,1,1.721025,54.88,101.43285807823051,0.5
3,1,2.0205,54.88,123.10175374059558,0.5
4,1,1.0404,54.88,4.16861164749381,0.5
5,1,1.176525,39.2,20.0,0.5
6,1,1.176525,39.2,20.0,0.5
7,1,1.09485,44.8,20.0,0.5
8,1,1.285425,54.88,57.8826343841163,0.5
9,1,1.176525,39.2,20.0,0.5
10,1,2.0205,54.88,146.07051984176988,0.5
11,1,2.0205,54.88,128.82437296332398,0.5
12,1,1.476,54.88,70.97999453039425,0.5
13,1,1.721025,54.88,97.86689284237842,0.5
14,1,1.0404,54.88,4.16861164749381,0.5
15,1,1.09485,44.8,20.0,0.5
16,1,1.0404,54.88,9.554168199409602,0.5
17,1,1.285425,33.6,0.0,0.5
18,1,1.176525,39.2,20.0,0.5
19,1,2.0205,54.88,144.53393287906817,0.5
20,1,1.721025,54.88,96.14818715309181,0.5
21,1,1.476,54.88,75.4768912214808,0.5
22,1,1.394325,39.2,44.30027564155847,0.5
23,1,1.285425,54.88,51.56776639212659,0.5
24,1,1.394325,39.2,42.21200275039746,0.5
25,1,1.09485,44.8,20.0,0.5
26,1,1.09485,44.8,20.0,0.5
27,1,1.0404,54.88,4.7755287530792305,0.5
28,1,1.53045,33.6,53.40968731190788,0.5
29,1,1.285425,54.88,45.63702672986277,0.5
30,1,1.09485,42.0,20.0,0.5
31,1,1.721025,54.88,112.10620431578624,0.5
32,1,1.09485,44.8,20.0,0.5
33,1,1.394325,30.8,36.8,0.5
34,1,1.394325,36.400000000000006,46.76560525257506,0.5
35,1,1.53045,33.6,51.3071061267746,0.5
36,1,1.285425,54.88,43.489391232782495,0.5
37,1,1.721025,54.88,96.14818715309181,0.5
38,1,1.1493,54.88,35.19738655094467,0.5
39,1,1.721025,54.88,112.10620431578624,0.5
40,1,2.0205,54.88,146.07051984176988,0.5
41,1,1.394325,30.8,36.8,0.5
42,1,1.53045,30.8,59.17982840077348,0.5
43,1,1.721025,54.88,96.14818715309181,0.5
44,1,1.1493,54.88,35.026689709422115,0.5
